"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6853","42.821548","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","2964","205","112","54\302\265s","","QoS Data, SN=2964, FN=0, Flags=.p....F.C"
"7008","43.627105","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","166","137","80","48","47\302\265s","","QoS Data, SN=137, FN=0, Flags=.p.....TC"
"7228","44.957830","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","485","88","48","47\302\265s","","QoS Data, SN=485, FN=0, Flags=.p.....TC"
"7230","44.959532","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3004","88","112","47\302\265s","","QoS Data, SN=3004, FN=0, Flags=.p....F.C"
"7235","44.966274","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","486","205","48","54\302\265s","","QoS Data, SN=486, FN=0, Flags=.p.....TC"
"7237","44.967990","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3005","205","112","54\302\265s","","QoS Data, SN=3005, FN=0, Flags=.p....F.C"
"7384","47.108575","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","487","88","48","47\302\265s","","QoS Data, SN=487, FN=0, Flags=.p.....TC"
"7386","47.110257","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3013","88","112","47\302\265s","","QoS Data, SN=3013, FN=0, Flags=.p....F.C"
"7391","47.118848","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","488","205","48","54\302\265s","","QoS Data, SN=488, FN=0, Flags=.p.....TC"
"7394","47.120754","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3014","205","112","54\302\265s","","QoS Data, SN=3014, FN=0, Flags=.p....F.C"
"7521","49.156634","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","489","88","48","47\302\265s","","QoS Data, SN=489, FN=0, Flags=.p.....TC"
"7525","49.157138","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","489","88","48","47\302\265s","","QoS Data, SN=489, FN=0, Flags=.p..R..TC"
"7530","49.166692","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","490","205","48","54\302\265s","","QoS Data, SN=490, FN=0, Flags=.p.....TC"
"7533","49.170178","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3022","205","112","54\302\265s","","QoS Data, SN=3022, FN=0, Flags=.p....F.C"
"7782","51.306901","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","491","88","48","47\302\265s","","QoS Data, SN=491, FN=0, Flags=.p.....TC"
"7784","51.308569","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3036","88","112","47\302\265s","","QoS Data, SN=3036, FN=0, Flags=.p....F.C"
"7789","51.316624","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","492","205","48","54\302\265s","","QoS Data, SN=492, FN=0, Flags=.p.....TC"
"7792","51.320456","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3037","205","112","54\302\265s","","QoS Data, SN=3037, FN=0, Flags=.p....F.C"
"8070","55.610419","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","495","88","48","47\302\265s","","QoS Data, SN=495, FN=0, Flags=.p.....TC"
"8072","55.610918","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3063","88","112","47\302\265s","","QoS Data, SN=3063, FN=0, Flags=.p....F.C"
"8078","55.619154","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","496","205","48","56\302\265s","","QoS Data, SN=496, FN=0, Flags=.p.....TC"
"8080","55.621070","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3064","205","112","54\302\265s","","QoS Data, SN=3064, FN=0, Flags=.p....F.C"
"8311","57.757923","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","497","88","48","48\302\265s","","QoS Data, SN=497, FN=0, Flags=.p.....TC"
"8316","57.768011","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","498","205","48","56\302\265s","","QoS Data, SN=498, FN=0, Flags=.p.....TC"
"8319","57.771343","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3078","205","112","54\302\265s","","QoS Data, SN=3078, FN=0, Flags=.p....F.C"
