"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"6655","40.702232","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1184","173","112","54\302\265s","","QoS Data, SN=1184, FN=0, Flags=.p....F.C"
"6674","40.717728","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3711","88","48","47\302\265s","","QoS Data, SN=3711, FN=0, Flags=.p.....TC"
"6676","40.718096","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1185","88","112","47\302\265s","","QoS Data, SN=1185, FN=0, Flags=.p....F.C"
"6833","42.744997","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3723","173","48","62\302\265s","","QoS Data, SN=3723, FN=0, Flags=.p.....TC"
"6838","42.806671","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1186","173","112","54\302\265s","","QoS Data, SN=1186, FN=0, Flags=.p....F.C"
"6858","42.822564","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3724","88","48","47\302\265s","","QoS Data, SN=3724, FN=0, Flags=.p.....TC"
"6860","42.823001","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1187","88","112","47\302\265s","","QoS Data, SN=1187, FN=0, Flags=.p....F.C"
"6995","43.573391","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","134","88","48","47\302\265s","","QoS Data, SN=134, FN=0, Flags=.p.....TC"
"7003","43.625071","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1188","88","112","47\302\265s","","QoS Data, SN=1188, FN=0, Flags=.p....F.C"
"7172","44.840138","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3762","173","48","54\302\265s","","QoS Data, SN=3762, FN=0, Flags=.p.....TC"
"7216","44.956086","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1189","173","112","54\302\265s","","QoS Data, SN=1189, FN=0, Flags=.p....F.C"
"7221","44.956448","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","312","1191","226","112","58\302\265s","","QoS Data, SN=1191, FN=0, Flags=.p....F.C"
"7223","44.956598","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","332","1192","246","112","58\302\265s","","QoS Data, SN=1192, FN=0, Flags=.p....F.C"
"7243","44.969955","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3763","88","48","47\302\265s","","QoS Data, SN=3763, FN=0, Flags=.p.....TC"
"7245","44.971946","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1193","88","112","47\302\265s","","QoS Data, SN=1193, FN=0, Flags=.p....F.C"
