"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1662","13.451708","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","2161","189","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2161, FN=0, Flags=.p....F.C"
"1694","13.531418","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2934","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2934, FN=0, Flags=.p.....TC"
"1696","13.531646","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2162","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2162, FN=0, Flags=.p....F.C"
"1700","13.546489","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2935","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2935, FN=0, Flags=.p.....TC"
"1702","13.546652","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2163","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2163, FN=0, Flags=.p....F.C"
"1735","13.563590","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2936","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2936, FN=0, Flags=.p.....TC"
"1737","13.564083","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2164","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2164, FN=0, Flags=.p....F.C"
"1740","13.567013","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2937","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2937, FN=0, Flags=.p.....TC"
"1742","13.567164","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2165","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2165, FN=0, Flags=.p....F.C"
"1773","13.623267","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2938","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2938, FN=0, Flags=.p.....TC"
"1775","13.623422","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2166","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2166, FN=0, Flags=.p....F.C"
"1776","13.623853","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2166","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2166, FN=0, Flags=.p..R.F.C"
"1924","15.588040","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2939","173","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2939, FN=0, Flags=.p.....TC"
"1940","15.698644","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2167","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2167, FN=0, Flags=.p....F.C"
"1963","15.799975","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2940","88","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2940, FN=0, Flags=.p.....TC"
