"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1892475","817.917594","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","248","2366","185","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2366, FN=0, Flags=.p.....TC"
"1892539","817.935429","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","1602","1546","1516","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1546, FN=0, Flags=.p....F.C"
"1892599","817.939127","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","271","1547","185","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1547, FN=0, Flags=.p....F.C"
"1893367","818.039589","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2367","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2367, FN=0, Flags=.p.....TC"
"1893374","818.039971","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1548","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1548, FN=0, Flags=.p....F.C"
"1893806","818.107744","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","524","2368","461","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2368, FN=0, Flags=.p..R..TC"
"1893925","818.118568","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","524","2368","461","213","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2368, FN=0, Flags=.p..R..TC"
"1894010","818.136937","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","547","1549","461","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1549, FN=0, Flags=.p....F.C"
"1894488","818.191907","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2369","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2369, FN=0, Flags=.p.....TC"
"1894634","818.211860","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","252","2370","189","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2370, FN=0, Flags=.p..R..TC"
"1894858","818.239825","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1550","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1550, FN=0, Flags=.p....F.C"
"1894908","818.260696","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","275","1551","189","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1551, FN=0, Flags=.p....F.C"
"1895537","818.335238","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2371","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2371, FN=0, Flags=.p.....TC"
"1895680","818.354154","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2372","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2372, FN=0, Flags=.p..R..TC"
